epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8289,1.04415,4.64113,1.05368,0.00241,0.51932,0.11437,0.09583,0.62029,4.23453,0.84874,0.00013,0.00013,0.00013
2,5.99464,0.83011,3.56923,0.93904,0.0055,0.85766,0.25674,0.21929,0.66636,3.83291,0.81362,0.000267327,0.000267327,0.000267327
3,8.17647,0.7804,2.80486,0.94108,0.00568,0.9386,0.42081,0.34879,0.6592,3.48313,0.80024,0.000401882,0.000401882,0.000401882
4,10.3246,0.73089,2.42353,0.90667,0.94201,0.18207,0.44768,0.37821,0.67521,3.29136,0.8213,0.000533665,0.000533665,0.000533665
5,12.5276,0.70208,2.07839,0.89884,0.95948,0.2087,0.47284,0.37214,0.64899,3.09782,0.85908,0.000662676,0.000662676,0.000662676
6,14.6692,0.72594,1.92794,0.89005,0.87262,0.21188,0.48257,0.38419,0.76686,3.03355,0.91439,0.000788915,0.000788915,0.000788915
7,16.7716,0.73666,1.80291,0.92064,0.82927,0.49868,0.72245,0.58713,0.70151,2.42819,0.91523,0.000912382,0.000912382,0.000912382
8,18.9328,0.72734,1.74883,0.89736,0.8192,0.68241,0.81573,0.68585,0.625,1.94676,0.83833,0.0009307,0.0009307,0.0009307
9,21.1054,0.67943,1.65081,0.92149,0.62609,0.72116,0.79649,0.69512,0.59065,1.96181,0.812,0.0009208,0.0009208,0.0009208
10,23.269,0.70341,1.64244,0.93855,0.64709,0.76431,0.88279,0.73818,0.67292,2.16585,0.83813,0.0009109,0.0009109,0.0009109
11,25.4131,0.67974,1.53358,0.94791,0.89258,0.81396,0.9149,0.80384,0.56087,1.45583,0.83376,0.000901,0.000901,0.000901
12,27.5596,0.6361,1.4043,0.89,0.92578,0.80199,0.95111,0.81792,0.57399,1.44152,0.82869,0.0008911,0.0008911,0.0008911
13,29.7106,0.63096,1.2836,0.89866,0.82732,0.88039,0.9295,0.79762,0.57756,1.22769,0.82678,0.0008812,0.0008812,0.0008812
14,31.9334,0.62747,1.35565,0.87966,0.89308,0.87409,0.91257,0.81578,0.4952,0.9374,0.79802,0.0008713,0.0008713,0.0008713
15,34.0214,0.62928,1.25781,0.89085,0.93773,0.94643,0.97672,0.872,0.50419,0.72031,0.83764,0.0008614,0.0008614,0.0008614
16,36.1133,0.58286,1.09091,0.88531,0.99151,0.97612,0.99458,0.88817,0.50646,0.57691,0.83224,0.0008515,0.0008515,0.0008515
17,38.2151,0.58642,1.04933,0.87838,0.98145,0.96514,0.99248,0.8864,0.50648,0.57684,0.81982,0.0008416,0.0008416,0.0008416
